,symbol,date,open,high,low,close,volume,adj_close,prev_day_diff,50_day_moving_avg,10_day_volatility,s&p_index_open,s&p_index_high,s&p_index_low,s&p_index_close,s&p_index_volume,s&p_index_adj_close
0,FB,2012-05-18,0.0206571450719,0.02183792816,0.0189212305885,0.0187830686681,573576400,0.0187830686681,0.0,38.23,0.0,1305.050049,1312.23999,1291.97998,1295.219971,4512470000.0,1295.219971
1,FB,2012-05-21,0.017945434168,0.017790632141,0.0164315949847,0.0167195346062,168192700,0.0167195346062,-4.200001,36.129999,2.1,1295.72998,1316.390015,1295.72998,1315.98999,3786750000.0,1315.98999
2,FB,2012-05-22,0.0160197274072,0.0163008001532,0.0154058656139,0.0152308430215,101786600,0.0152308430215,-3.029999,34.419999,3.419999,1316.089966,1328.48999,1310.040039,1316.630005,4123680000.0,1316.630005
3,FB,2012-05-23,0.0154105749577,0.0157718370045,0.0156149950046,0.0157221605383,73600000,0.0157221605383,1.0,33.814999,1.814999,1316.02002,1320.709961,1296.530029,1318.859985,4108330000.0,1318.859985
4,FB,2012-05-24,0.0161867530788,0.0161163904968,0.0158191446262,0.0162282170893,50237200,0.0162282170893,1.029999,33.657999,0.628,1318.719971,1324.140015,1310.5,1320.680054,3937670000.0,1320.680054
5,FB,2012-05-25,0.0161621909713,0.0159902167714,0.0154905132244,0.0156779419618,37149800,0.0156779419618,-1.119999,33.366666,1.456666,1320.810059,1324.199951,1314.22998,1317.819946,2872660000.0,1317.819946
6,FB,2012-05-29,0.0154646121838,0.0153787547829,0.0142656120095,0.0141695971852,78063400,0.0141695971852,-3.07,32.719999,3.879999,1318.900024,1334.930054,1318.900024,1332.420044,3441640000.0,1332.420044
7,FB,2012-05-30,0.0140989321836,0.0143402390065,0.013872250082,0.0138502412906,57267900,0.0138502412906,-0.649999,32.153749,3.963748,1331.25,1331.25,1310.76001,1313.319946,3534290000.0,1313.319946
8,FB,2012-05-31,0.0140252434048,0.0143984739668,0.0133593846497,0.014542998498,111639200,0.014542998498,1.409999,31.869999,2.269999,1313.089966,1319.73999,1298.900024,1310.329956,4557620000.0,1310.329956
9,FB,2012-06-01,0.0141922690764,0.0141461245748,0.0136382233394,0.013619321075,41855500,0.013619321075,-1.880001,31.454999,3.735,1309.869995,1309.869995,1277.25,1278.040039,4669350000.0,1278.040039
10,FB,2012-06-04,0.0133620542206,0.0134181936361,0.0131651935705,0.0132164412025,35230300,0.0132164412025,-0.819999,31.040908,3.421999,1278.290039,1282.550049,1266.73999,1278.180054,4011960000.0,1278.180054
